djm, I2c, djm.5.i2c_voltage.heater4, float, 1
djm, I2c, djm.5.i2c_voltage.hdrm1, float, 1
djm, I2c, djm.5.i2c_voltage.hdrm2, float, 1
djm, I2c, djm.5.over_current_info.unit_type, str, 1
djm, I2c, djm.5.over_current_info.cpu_i2c_origin, float, 1
djm, I2c, djm.5.over_current_info.djm_15, float, 1
djm, I2c, djm.5.over_current_info.temp_sensor, float, 1
djm, I2c, djm.5.over_current_info.mtq, float, 1
djm, I2c, djm.5.over_current_info.sas1, float, 1
djm, I2c, djm.5.over_current_info.sas2, float, 1
djm, I2c, djm.5.over_current_info.djm_i2c, float, 1
djm, I2c, djm.5.over_current_info.heater1, float, 1
djm, I2c, djm.5.over_current_info.heater2, float, 1
djm, I2c, djm.5.over_current_info.heater3, float, 1
djm, I2c, djm.5.over_current_info.heater4, float, 1
djm, I2c, djm.5.over_current_info.hdrm1, float, 1
djm, I2c, djm.5.over_current_info.hdrm2, float, 1
djm, Sas, djm.5.sas1.x_angle, float, 1
djm, Sas, djm.5.sas1.y_angle, float, 1
djm, Sas, djm.5.sas1.tmp, float, 1
djm, Sas, djm.5.sas1.gain, int, 1
djm, Sas, djm.5.sas1.x_peak, int, 1
djm, Sas, djm.5.sas1.y_peak, int, 1
djm, Sas, djm.5.sas1.sensor_gain_mode, str, 1
djm, Sas, djm.5.sas1.error_chk, str, 1
djm, Sas, djm.5.sas1.timestamp, str, 1
djm, Sas, djm.5.sas2.x_angle, float, 1
djm, Sas, djm.5.sas2.y_angle, float, 1
djm, Sas, djm.5.sas2.tmp, float, 1
djm, Sas, djm.5.sas2.gain, int, 1
djm, Sas, djm.5.sas2.x_peak, int, 1
djm, Sas, djm.5.sas2.y_peak, int, 1
djm, Sas, djm.5.sas2.sensor_gain_mode, str, 1
djm, Sas, djm.5.sas2.error_chk, str, 1
djm, Sas, djm.5.sas2.timestamp, str, 1
djm, Djm, djm.5.time_stamp, str, 1
djm, Djm, djm.5.djm_version, str, 1
djm, Djm, djm.5.build_time, str, 1
djm, Djm, djm.5.build_date, str, 1
djm, Djm, djm.5.terminal_log, str, 1
djm, Djm, djm.5.checksum, int, 1
pcu, Pcu, pcu.sys_time, str, 1
pcu, Pcu, pcu.log_size, int, 1
pcu, Pcu, pcu.pcu_id, str, 1
pcu, Pcu, pcu.pulse_status.1, int, 1
pcu, Pcu, pcu.pulse_status.2, int, 1
pcu, Pcu, pcu.pulse_status.3, int, 1
pcu, Pcu, pcu.pulse_status.4, int, 1
